One	CD	One
of	IN	of
all	DT	all
things	NNS	thing
for	IN	for
you	PRP	you
,	,	,
''	''	''
replied	VBD	reply
the	DT	the
gypsy	NN	gypsy
.	.	.
So	RB	So
Ib	NNP	Ib
held	VBD	hold
the	DT	the
nut	JJ	nut
very	RB	very
tight	RB	tight
.	.	.
Then	RB	Then
the	DT	the
woman	NN	woman
promised	VBD	promise
to	TO	to
lead	VB	lead
the	DT	the
children	NNS	child
to	TO	to
the	DT	the
right	JJ	right
path	NN	path
,	,	,
that	IN	that
they	PRP	they
might	MD	might
find	VB	find
their	PRP$	their
way	NN	way
home	NN	home
:	:	:
and	CC	and
they	PRP	they
went	VBD	go
forward	RB	forward
certainly	RB	certainly
in	IN	in
quite	RB	quite
another	DT	another
direction	NN	direction
to	TO	to
the	DT	the
one	NN	one
they	PRP	they
meant	VBD	mean
to	TO	to
take	VB	take
;	:	;
therefore	RB	therefore
no	DT	no
one	NN	one
ought	MD	ought
to	TO	to
speak	VB	speak
against	IN	against
the	DT	the
woman	NN	woman
,	,	,
and	CC	and
say	VBP	say
that	IN	that
she	PRP	she
wanted	VBD	want
to	TO	to
steal	VB	steal
the	DT	the
children	NNS	child
.	.	.
In	IN	In
the	DT	the
wild	JJ	wild
wood-path	NN	wood-path
they	PRP	they
met	VBD	meet
a	DT	a
forester	NN	forester
who	WP	who
knew	VBD	know
Ib	NNP	Ib
,	,	,
and	CC	and
,	,	,
by	IN	by
his	PRP$	his
help	NN	help
,	,	,
Ib	NNP	Ib
and	CC	and
Christina	NNP	Christina
reached	VBD	reach
home	NN	home
,	,	,
where	WRB	where
they	PRP	they
found	VBD	find
every	DT	every
one	CD	one
had	VBD	have
been	VBN	be
very	RB	very
anxious	JJ	anxious
about	IN	about
them	PRP	them
.	.	.
They	PRP	They
were	VBD	be
pardoned	VBN	pardon
and	CC	and
forgiven	RB	forgiven
,	,	,
although	IN	although
they	PRP	they
really	RB	really
had	VBD	have
both	DT	both
done	VBN	do
wrong	NN	wrong
,	,	,
and	CC	and
deserved	VBD	deserve
to	TO	to
get	VB	get
into	IN	into
trouble	NN	trouble
;	:	;
first	RB	first
,	,	,
because	IN	because
they	PRP	they
had	VBD	have
let	VBN	let
the	DT	the
sucking-pig	JJ	sucking-pig
fall	NN	fall
into	IN	into
the	DT	the
water	NN	water
;	:	;
and	CC	and
,	,	,
secondly	RB	secondly
,	,	,
because	IN	because
they	PRP	they
had	VBD	have
run	VBN	run
away	RB	away
.	.	.
Christina	NNP	Christina
was	VBD	be
taken	VBN	take
back	RB	back
to	TO	to
her	PRP$	her
father	NN	father
's	POS	's
house	NN	house
on	IN	on
the	DT	the
heath	NN	heath
,	,	,
and	CC	and
Ib	NNP	Ib
remained	VBD	remain
in	IN	in
the	DT	the
farm-house	NN	farm-house
on	IN	on
the	DT	the
borders	NNS	border
of	IN	of
the	DT	the
wood	NN	wood
,	,	,
near	IN	near
the	DT	the
great	JJ	great
land	NN	land
ridge	NN	ridge
.	.	.
The	DT	The
first	JJ	first
thing	NN	thing
Ib	NNP	Ib
did	VBD	do
that	IN	that
evening	NN	evening
was	VBD	be
to	TO	to
take	VB	take
out	RP	out
of	IN	of
his	PRP$	his
pocket	NN	pocket
the	DT	the
little	JJ	little
black	JJ	black
nut	NN	nut
,	,	,
in	IN	in
which	WDT	which
the	DT	the
best	JJS	best
thing	NN	thing
of	IN	of
all	DT	all
was	VBD	be
said	VBD	say
to	TO	to
be	VB	be
enclosed	VBN	enclose
.	.	.
He	PRP	He
laid	VBD	lay
it	PRP	it
carefully	RB	carefully
between	IN	between
the	DT	the
door	NN	door
and	CC	and
the	DT	the
door-post	NN	door-post
,	,	,
and	CC	and
then	RB	then
shut	VBD	shut
the	DT	the
door	NN	door
so	IN	so
that	IN	that
the	DT	the
nut	NN	nut
cracked	VBD	crack
directly	RB	directly
.	.	.
But	CC	But
there	EX	there
was	VBD	be
not	RB	not
much	JJ	much
kernel	NNS	kernel
to	TO	to
be	VB	be
seen	VBN	see
;	:	;
it	PRP	it
was	VBD	be
what	WP	what
we	PRP	we
should	MD	should
call	VB	call
hollow	NN	hollow
or	CC	or
worm-eaten	JJ	worm-eaten
,	,	,
and	CC	and
looked	VBD	look
as	IN	a
if	IN	if
it	PRP	it
had	VBD	have
been	VBN	be
filled	VBN	fill
with	IN	with
tobacco	NN	tobacco
or	CC	or
rich	JJ	rich
black	JJ	black
earth	NN	earth
.	.	.
``	``	``
It	PRP	It
is	VBZ	be
just	RB	just
what	WP	what
I	PRP	I
expected	VBD	expect
!	.	!
''	''	''
exclaimed	VBD	exclaim
Ib	NNP	Ib
.	.	.
``	``	``
How	WRB	How
should	MD	should
there	RB	there
be	VB	be
room	NN	room
in	IN	in
a	DT	a
little	JJ	little
nut	NN	nut
like	IN	like
this	DT	this
for	IN	for
the	DT	the
best	JJS	best
thing	NN	thing
of	IN	of
all	DT	all
?	.	?
Christina	NNP	Christina
will	MD	will
find	VB	find
her	PRP	her
two	CD	two
nuts	NNS	nut
just	RB	just
the	DT	the
same	JJ	same
;	:	;
there	EX	there
will	MD	will
be	VB	be
neither	CC	neither
fine	JJ	fine
clothes	NNS	clothes
or	CC	or
a	DT	a
golden	JJ	golden
carriage	NN	carriage
in	IN	in
them	PRP	them
.	.	.
''	''	''
Winter	NN	Winter
came	VBD	come
;	:	;
and	CC	and
the	DT	the
new	JJ	new
year	NN	year
,	,	,
and	CC	and
indeed	RB	indeed
many	JJ	many
years	NNS	year
passed	VBD	pass
away	RB	away
;	:	;
until	IN	until
Ib	NNP	Ib
was	VBD	be
old	JJ	old
enough	RB	enough
to	TO	to
be	VB	be
confirmed	VBN	confirm
,	,	,
and	CC	and
,	,	,
therefore	RB	therefore
,	,	,
he	PRP	he
went	VBD	go
during	IN	during
a	DT	a
whole	JJ	whole
winter	NN	winter
to	TO	to
the	DT	the
clergyman	NN	clergyman
of	IN	of
the	DT	the
nearest	JJS	near
village	NN	village
to	TO	to
be	VB	be
prepared	VBN	prepare
.	.	.
One	CD	One
day	NN	day
,	,	,
about	IN	about
this	DT	this
time	NN	time
,	,	,
the	DT	the
boatman	NN	boatman
paid	VBD	pay
a	DT	a
visit	NN	visit
to	TO	to
Ib	NNP	Ib
's	POS	's
parents	NNS	parent
,	,	,
and	CC	and
told	VBD	tell
them	PRP	them
that	IN	that
Christina	NNP	Christina
was	VBD	be
going	VBG	go
to	TO	to
service	NN	service
,	,	,
and	CC	and
that	IN	that
she	PRP	she
had	VBD	have
been	VBN	be
remarkably	RB	remarkably
fortunate	JJ	fortunate
in	IN	in
obtaining	VBG	obtain
a	DT	a
good	JJ	good
place	NN	place
,	,	,
with	IN	with
most	RBS	most
respectable	JJ	respectable
people	NNS	people
.	.	.
``	``	``
Only	RB	Only
think	VB	think
,	,	,
''	''	''
he	PRP	he
said	VBD	say
,	,	,
``	``	``
She	PRP	She
is	VBZ	be
going	VBG	go
to	TO	to
the	DT	the
rich	JJ	rich
innkeeper	NN	innkeeper
's	POS	's
,	,	,
at	IN	at
the	DT	the
hotel	NN	hotel
in	IN	in
Herning	NNP	Herning
,	,	,
many	JJ	many
miles	NNS	mile
west	RB	west
from	IN	from
here	RB	here
.	.	.
She	PRP	She
is	VBZ	be
to	TO	to
assist	VB	assist
the	DT	the
landlady	NN	landlady
in	IN	in
the	DT	the
housekeeping	NN	housekeeping
;	:	;
and	CC	and
,	,	,
if	IN	if
afterwards	NNS	afterwards
she	PRP	she
behaves	VBZ	behave
well	RB	well
and	CC	and
remains	VBZ	remain
to	TO	to
be	VB	be
confirmed	VBN	confirm
,	,	,
the	DT	the
people	NNS	people
will	MD	will
treat	VB	treat
her	PRP	her
as	IN	a
their	PRP$	their
own	JJ	own
daughter	NN	daughter
.	.	.
''	''	''
So	RB	So
Ib	NNP	Ib
and	CC	and
Christina	NNP	Christina
took	VBD	take
leave	NN	leave
of	IN	of
each	DT	each
other	JJ	other
.	.	.
People	NNS	People
already	RB	already
called	VBD	call
them	PRP	them
``	``	``
the	DT	the
betrothed	NN	betrothed
,	,	,
''	''	''
and	CC	and
at	IN	at
parting	VBG	part
the	DT	the
girl	NN	girl
showed	VBD	show
Ib	NNP	Ib
the	DT	the
two	CD	two
nuts	NNS	nut
,	,	,
which	WDT	which
she	PRP	she
had	VBD	have
taken	VBN	take
care	NN	care
of	IN	of
ever	RB	ever
since	IN	since
the	DT	the
time	NN	time
that	IN	that
they	PRP	they
lost	VBD	lose
themselves	PRP	themselves
in	IN	in
the	DT	the
wood	NN	wood
;	:	;
and	CC	and
she	PRP	she
told	VBD	tell
him	PRP	him
also	RB	also
that	IN	that
the	DT	the
little	JJ	little
wooden	NN	wooden
shoes	NNS	shoe
he	PRP	he
once	RB	once
carved	VBD	carve
for	IN	for
her	PRP$	her
when	WRB	when
he	PRP	he
was	VBD	be
a	DT	a
boy	NN	boy
,	,	,
and	CC	and
gave	VBD	give
her	PRP	her
as	IN	a
a	DT	a
present	JJ	present
,	,	,
had	VBD	have
been	VBN	be
carefully	RB	carefully
kept	VBN	keep
in	IN	in
a	DT	a
drawer	NN	drawer
ever	RB	ever
since	IN	since
.	.	.
And	CC	And
so	RB	so
they	PRP	they
parted	VBD	part
.	.	.
After	IN	After
Ib	NNP	Ib
's	POS	's
confirmation	NN	confirmation
,	,	,
he	PRP	he
remained	VBD	remain
at	IN	at
home	NN	home
with	IN	with
his	PRP$	his
mother	NN	mother
,	,	,
for	IN	for
he	PRP	he
had	VBD	have
become	VBN	become
a	DT	a
clever	JJ	clever
shoemaker	NN	shoemaker
,	,	,
and	CC	and
in	IN	in
summer	NN	summer
managed	VBD	manage
the	DT	the
farm	NN	farm
for	IN	for
her	PRP$	her
quite	JJ	quite
alone	NN	alone
.	.	.
His	PRP$	His
father	NN	father
had	VBD	have
been	VBN	be
dead	JJ	dead
some	DT	some
time	NN	time
,	,	,
and	CC	and
his	PRP$	his
mother	NN	mother
kept	VBD	keep
no	DT	no
farm	NN	farm
servants	NNS	servant
.	.	.
Sometimes	RB	Sometimes
,	,	,
but	CC	but
very	RB	very
seldom	RB	seldom
,	,	,
he	PRP	he
heard	VBD	hear
of	IN	of
Christina	NNP	Christina
,	,	,
through	IN	through
a	DT	a
postillion	NN	postillion
or	CC	or
eel-seller	NN	eel-seller
who	WP	who
was	VBD	be
passing	VBG	pass
.	.	.
But	CC	But
she	PRP	she
was	VBD	be
well	RB	well
off	IN	off
with	IN	with
the	DT	the
rich	JJ	rich
innkeeper	NN	innkeeper
;	:	;
and	CC	and
after	IN	after
being	VBG	be
confirmed	VBN	confirm
she	PRP	she
wrote	VBD	write
a	DT	a
letter	NN	letter
to	TO	to
her	PRP$	her
father	NN	father
,	,	,
in	IN	in
which	WDT	which
was	VBD	be
a	DT	a
kind	NN	kind
message	NN	message
to	TO	to
Ib	NNP	Ib
and	CC	and
his	PRP$	his
mother	NN	mother
.	.	.
In	IN	In
this	DT	this
letter	NN	letter
,	,	,
she	PRP	she
mentioned	VBD	mention
that	IN	that
her	PRP$	her
master	NN	master
and	CC	and
mistress	NN	mistress
had	VBD	have
made	VBN	make
her	PRP$	her
a	DT	a
present	NN	present
of	IN	of
a	DT	a
beautiful	JJ	beautiful
new	JJ	new
dress	NN	dress
,	,	,
and	CC	and
some	DT	some
nice	JJ	nice
under-clothes	NNS	under-clothes
.	.	.
This	DT	This
was	VBD	be
,	,	,
of	IN	of
course	NN	course
,	,	,
pleasant	JJ	pleasant
news	NN	news
.	.	.
One	CD	One
day	NN	day
,	,	,
in	IN	in
the	DT	the
following	JJ	following
spring	NN	spring
,	,	,
there	EX	there
came	VBD	come
a	DT	a
knock	NN	knock
at	IN	at
the	DT	the
door	NN	door
of	IN	of
the	DT	the
house	NN	house
where	WRB	where
Ib	NNP	Ib
's	POS	's
old	JJ	old
mother	NN	mother
lived	VBD	live
;	:	;
and	CC	and
when	WRB	when
they	PRP	they
opened	VBD	open
it	PRP	it
,	,	,
lo	RBR	lo
and	CC	and
behold	VB	behold
,	,	,
in	IN	in
stepped	VBD	step
the	DT	the
boatman	NN	boatman
and	CC	and
Christina	NNP	Christina
.	.	.
She	PRP	She
had	VBD	have
come	VBN	come
to	TO	to
pay	VB	pay
them	PRP	them
a	DT	a
visit	NN	visit
,	,	,
and	CC	and
to	TO	to
spend	VB	spend
the	DT	the
day	NN	day
.	.	.
A	DT	A
carriage	NN	carriage
had	VBD	have
to	TO	to
come	VB	come
from	IN	from
the	DT	the
Herning	NNP	Herning
hotel	NN	hotel
to	TO	to
the	DT	the
next	JJ	next
village	NN	village
,	,	,
and	CC	and
she	PRP	she
had	VBD	have
taken	VBN	take
the	DT	the
opportunity	NN	opportunity
to	TO	to
see	VB	see
her	PRP$	her
friends	NNS	friend
once	RB	once
more	RBR	more
.	.	.
She	PRP	She
looked	VBD	look
as	RB	as
elegant	JJ	elegant
as	IN	a
a	DT	a
real	JJ	real
lady	NN	lady
,	,	,
and	CC	and
wore	VBD	wear
a	DT	a
pretty	JJ	pretty
dress	NN	dress
,	,	,
beautifully	RB	beautifully
made	VBN	make
on	IN	on
purpose	NN	purpose
for	IN	for
her	PRP$	her
.	.	.
There	EX	There
she	PRP	she
stood	VBD	stand
,	,	,
in	IN	in
full	JJ	full
dress	NN	dress
,	,	,
while	IN	while
Ib	NNP	Ib
wore	VBD	wear
only	RB	only
his	PRP$	his
working	VBG	work
clothes	NNS	clothes
.	.	.
He	PRP	He
could	MD	could
not	RB	not
utter	VB	utter
a	DT	a
word	NN	word
;	:	;
he	PRP	he
could	MD	could
only	RB	only
seize	VB	seize
her	PRP$	her
hand	NN	hand
and	CC	and
hold	VB	hold
it	PRP	it
fast	RB	fast
in	IN	in
his	PRP$	his
own	JJ	own
,	,	,
but	CC	but
he	PRP	he
felt	VBD	felt
too	RB	too
happy	JJ	happy
and	CC	and
glad	JJ	glad
to	TO	to
open	VB	open
his	PRP$	his
lips	NNS	lip
.	.	.
Christina	NNP	Christina
,	,	,
however	RB	however
,	,	,
was	VBD	be
quite	RB	quite
at	IN	at
her	PRP$	her
ease	NN	ease
;	:	;
she	PRP	she
talked	VBD	talk
and	CC	and
talked	VBD	talk
,	,	,
and	CC	and
kissed	VBD	kiss
him	PRP	him
in	IN	in
the	DT	the
most	RBS	most
friendly	JJ	friendly
manner	NN	manner
.	.	.
Even	RB	Even
afterwards	NNS	afterwards
,	,	,
when	WRB	when
they	PRP	they
were	VBD	be
left	VBN	leave
alone	RB	alone
,	,	,
and	CC	and
she	PRP	she
asked	VBD	ask
,	,	,
``	``	``
Did	NNP	Did
you	PRP	you
know	VBP	know
me	PRP	me
again	RB	again
,	,	,
Ib	NNP	Ib
?	.	?
''	''	''
he	PRP	he
still	RB	still
stood	VBD	stand
holding	VBG	hold
her	PRP$	her
hand	NN	hand
,	,	,
and	CC	and
said	VBD	say
at	IN	at
last	JJ	last
,	,	,
``	``	``
You	PRP	You
are	VBP	be
become	VBN	become
quite	RB	quite
a	DT	a
grand	JJ	grand
lady	NN	lady
,	,	,
Christina	NNP	Christina
,	,	,
and	CC	and
I	PRP	I
am	VBP	be
only	RB	only
a	DT	a
rough	JJ	rough
working	NN	working
man	NN	man
;	:	;
but	CC	but
I	PRP	I
have	VBP	have
often	RB	often
thought	VBN	think
of	IN	of
you	PRP	you
and	CC	and
of	IN	of
old	JJ	old
times	NNS	time
.	.	.
''	''	''
Then	RB	Then
they	PRP	they
wandered	VBD	wander
up	RP	up
the	DT	the
great	JJ	great
ridge	NN	ridge
,	,	,
and	CC	and
looked	VBD	look
across	IN	across
the	DT	the
stream	NN	stream
to	TO	to
the	DT	the
heath	NN	heath
,	,	,
where	WRB	where
the	DT	the
little	JJ	little
hills	NNS	hill
were	VBD	be
covered	VBN	cover
with	IN	with
the	DT	the
flowering	NN	flowering
broom	NN	broom
.	.	.
Ib	NNP	Ib
said	VBD	say
nothing	NN	nothing
;	:	;
but	CC	but
before	IN	before
the	DT	the
time	NN	time
came	VBD	come
for	IN	for
them	PRP	them
to	TO	to
part	NN	part
,	,	,
it	PRP	it
became	VBD	become
quite	RB	quite
clear	JJ	clear
to	TO	to
him	PRP	him
that	IN	that
Christina	NNP	Christina
must	MD	must
be	VB	be
his	PRP$	his
wife	NN	wife
:	:	:
had	VBD	have
they	PRP	they
not	RB	not
even	RB	even
in	IN	in
childhood	NN	childhood
been	VBN	be
called	VBN	call
the	DT	the
betrothed	VBN	betroth
?	.	?
To	TO	To
him	PRP	him
it	PRP	it
seemed	VBD	seem
as	IN	a
if	IN	if
they	PRP	they
were	VBD	be
really	RB	really
engaged	VBN	engage
to	TO	to
each	DT	each
other	JJ	other
,	,	,
although	IN	although
not	RB	not
a	DT	a
word	NN	word
had	VBD	have
been	VBN	be
spoken	VBN	speak
on	IN	on
the	DT	the
subject	NN	subject
.	.	.
They	PRP	They
had	VBD	have
only	RB	only
a	DT	a
few	JJ	few
more	JJR	more
hours	NNS	hour
to	TO	to
remain	VB	remain
together	RB	together
,	,	,
for	IN	for
Christina	NNP	Christina
was	VBD	be
obliged	VBN	oblige
to	TO	to
return	VB	return
that	IN	that
evening	VBG	even
to	TO	to
the	DT	the
neighboring	JJ	neighboring
village	NN	village
,	,	,
to	TO	to
be	VB	be
ready	JJ	ready
for	IN	for
the	DT	the
carriage	NN	carriage
which	WDT	which
was	VBD	be
to	TO	to
start	VB	start
the	DT	the
next	JJ	next
morning	NN	morning
early	JJ	early
for	IN	for
Herning	VBG	Herning
.	.	.
Ib	NNP	Ib
and	CC	and
her	PRP$	her
father	NN	father
accompanied	VBD	accompany
her	PRP	her
to	TO	to
the	DT	the
village	NN	village
.	.	.
It	PRP	It
was	VBD	be
a	DT	a
fine	JJ	fine
moonlight	NN	moonlight
evening	NN	evening
;	:	;
and	CC	and
when	WRB	when
they	PRP	they
arrived	VBD	arrive
,	,	,
Ib	NNP	Ib
stood	VBD	stand
holding	VBG	hold
Christina	NNP	Christina
's	POS	's
hand	NN	hand
in	IN	in
his	PRP$	his
,	,	,
as	IN	a
if	IN	if
he	PRP	he
could	MD	could
not	RB	not
let	VB	let
her	PRP$	her
go	VB	go
.	.	.
His	PRP$	His
eyes	NNS	eye
brightened	VBN	brighten
,	,	,
and	CC	and
the	DT	the
words	NNS	word
he	PRP	he
uttered	VBD	utter
came	VBD	come
with	IN	with
hesitation	NN	hesitation
from	IN	from
his	PRP$	his
lips	NNS	lip
,	,	,
but	CC	but
from	IN	from
the	DT	the
deepest	JJS	deep
recesses	NNS	recess
of	IN	of
his	PRP$	his
heart	NN	heart
:	:	:
``	``	``
Christina	NNP	Christina
,	,	,
if	IN	if
you	PRP	you
have	VBP	have
not	RB	not
become	VBN	become
too	RB	too
grand	JJ	grand
,	,	,
and	CC	and
if	IN	if
you	PRP	you
can	MD	can
be	VB	be
contented	VBN	content
to	TO	to
live	VB	live
in	IN	in
my	PRP$	my
mother	NN	mother
's	POS	's
house	NN	house
as	IN	a
my	PRP$	my
wife	NN	wife
,	,	,
we	PRP	we
will	MD	will
be	VB	be
married	VBN	marry
some	DT	some
day	NN	day
.	.	.
But	CC	But
we	PRP	we
can	MD	can
wait	VB	wait
for	IN	for
a	DT	a
while	NN	while
.	.	.
''	''	''
``	``	``
Oh	UH	Oh
yes	UH	yes
,	,	,
''	''	''
she	PRP	she
replied	VBD	reply
;	:	;
``	``	``
Let	VB	Let
us	PRP	u
wait	VB	wait
a	DT	a
little	JJ	little
longer	JJR	long
,	,	,
Ib	NNP	Ib
.	.	.
I	PRP	I
can	MD	can
trust	VB	trust
you	PRP	you
,	,	,
for	IN	for
I	PRP	I
believe	VBP	believe
that	IN	that
I	PRP	I
do	VBP	do
love	VB	love
you	PRP	you
.	.	.
But	CC	But
let	VB	let
me	PRP	me
think	VB	think
it	PRP	it
over	RP	over
.	.	.
''	''	''
Then	RB	Then
he	PRP	he
kissed	VBD	kiss
her	PRP	her
lips	NNS	lip
;	:	;
and	CC	and
so	IN	so
they	PRP	they
parted	VBD	part
.	.	.
On	IN	On
the	DT	the
way	NN	way
home	NN	home
,	,	,
Ib	NNP	Ib
told	VBD	tell
the	DT	the
boatman	NN	boatman
that	IN	that
he	PRP	he
and	CC	and
Christina	NNP	Christina
were	VBD	be
as	RB	as
good	JJ	good
as	IN	a
engaged	VBN	engage
to	TO	to
each	DT	each
other	JJ	other
;	:	;
and	CC	and
the	DT	the
boatman	NN	boatman
found	VBD	find
out	RP	out
that	IN	that
he	PRP	he
had	VBD	have
always	RB	always
expected	VBN	expect
it	PRP	it
would	MD	would
be	VB	be
so	RB	so
,	,	,
and	CC	and
went	VBD	go
home	NN	home
with	IN	with
Ib	NNP	Ib
that	IN	that
evening	NN	evening
,	,	,
and	CC	and
remained	VBD	remain
the	DT	the
night	NN	night
in	IN	in
the	DT	the
farmhouse	NN	farmhouse
;	:	;
but	CC	but
nothing	NN	nothing
further	RB	far
was	VBD	be
said	VBD	say
of	IN	of
the	DT	the
engagement	NN	engagement
.	.	.
During	IN	During
the	DT	the
next	JJ	next
year	NN	year
,	,	,
two	CD	two
letters	NNS	letter
passed	VBD	pass
between	IN	between
Ib	NNP	Ib
and	CC	and
Christina	NNP	Christina
.	.	.
They	PRP	They
were	VBD	be
signed	VBN	sign
,	,	,
``	``	``
Faithful	NNP	Faithful
till	NN	till
death	NN	death
;	:	;
''	''	''
but	CC	but
at	IN	at
the	DT	the
end	NN	end
of	IN	of
that	DT	that
time	NN	time
,	,	,
one	CD	one
day	NN	day
the	DT	the
boatman	NN	boatman
came	VBD	come
over	IN	over
to	TO	to
see	VB	see
Ib	NNP	Ib
,	,	,
with	IN	with
a	DT	a
kind	NN	kind
greeting	VBG	greet
from	IN	from
Christina	NNP	Christina
.	.	.
He	PRP	He
had	VBD	have
something	NN	something
else	RB	else
to	TO	to
say	VB	say
,	,	,
which	WDT	which
made	VBD	make
him	PRP	him
hesitate	VB	hesitate
in	IN	in
a	DT	a
strange	JJ	strange
manner	NN	manner
.	.	.
At	IN	At
last	JJ	last
it	PRP	it
came	VBD	come
out	RP	out
that	IN	that
Christina	NNP	Christina
,	,	,
who	WP	who
had	VBD	have
grown	VBN	grow
a	DT	a
very	RB	very
pretty	JJ	pretty
girl	NN	girl
,	,	,
was	VBD	be
more	RBR	more
lucky	JJ	lucky
than	IN	than
ever	RB	ever
.	.	.
She	PRP	She
was	VBD	be
courted	VBN	court
and	CC	and
admired	VBN	admire
by	IN	by
every	DT	every
one	CD	one
;	:	;
but	CC	but
her	PRP$	her
master	NN	master
's	POS	's
son	NN	son
,	,	,
who	WP	who
had	VBD	have
been	VBN	be
home	VBN	home
on	IN	on
a	DT	a
visit	NN	visit
,	,	,
was	VBD	be
so	RB	so
much	JJ	much
pleased	VBN	please
with	IN	with
Christina	NNP	Christina
that	IN	that
he	PRP	he
wished	VBD	wish
to	TO	to
marry	VB	marry
her	PRP	her
.	.	.
He	PRP	He
had	VBD	have
a	DT	a
very	RB	very
good	JJ	good
situation	NN	situation
in	IN	in
an	DT	an
office	NN	office
at	IN	at
Copenhagen	NNP	Copenhagen
,	,	,
and	CC	and
as	IN	a
she	PRP	she
had	VBD	have
also	RB	also
taken	VBN	take
a	DT	a
liking	NN	liking
for	IN	for
him	PRP	him
,	,	,
his	PRP$	his
parents	NNS	parent
were	VBD	be
not	RB	not
unwilling	JJ	unwilling
to	TO	to
consent	NN	consent
.	.	.
But	CC	But
Christina	NNP	Christina
,	,	,
in	IN	in
her	PRP$	her
heart	NN	heart
,	,	,
often	RB	often
thought	VBN	think
of	IN	of
Ib	NNP	Ib
,	,	,
and	CC	and
knew	VB	know
how	WRB	how
much	JJ	much
he	PRP	he
thought	VBD	think
of	IN	of
her	PRP$	her
;	:	;
so	IN	so
she	PRP	she
felt	VBD	felt
inclined	JJ	inclined
to	TO	to
refuse	VB	refuse
this	DT	this
good	JJ	good
fortune	NN	fortune
,	,	,
added	VBD	add
the	DT	the
boatman	NN	boatman
.	.	.
At	IN	At
first	JJ	first
Ib	NNP	Ib
said	VBD	say
not	RB	not
a	DT	a
word	NN	word
,	,	,
but	CC	but
he	PRP	he
became	VBD	become
as	RB	as
white	JJ	white
as	IN	a
the	DT	the
wall	NN	wall
,	,	,
and	CC	and
shook	VBD	shake
his	PRP$	his
head	NN	head
gently	RB	gently
,	,	,
and	CC	and
then	RB	then
he	PRP	he
spoke	VBD	speak
,	,	,
-	:	-
``	``	``
Christina	NNP	Christina
must	MD	must
not	RB	not
refuse	VB	refuse
this	DT	this
good	JJ	good
fortune	NN	fortune
.	.	.
''	''	''
``	``	``
Then	RB	Then
will	MD	will
you	PRP	you
write	VB	write
a	DT	a
few	JJ	few
words	NNS	word
to	TO	to
her	PRP$	her
?	.	?
''	''	''
said	VBD	say
the	DT	the
boatman	NN	boatman
.	.	.
Ib	NNP	Ib
sat	VBD	sit
down	RB	down
to	TO	to
write	VB	write
,	,	,
but	CC	but
he	PRP	he
could	MD	could
not	RB	not
get	VB	get
on	IN	on
at	IN	at
all	DT	all
.	.	.
The	DT	The
words	NNS	word
were	VBD	be
not	RB	not
what	WP	what
he	PRP	he
wished	VBD	wish
to	TO	to
say	VB	say
,	,	,
so	IN	so
he	PRP	he
tore	VBD	tear
up	RP	up
the	DT	the
page	NN	page
.	.	.
The	DT	The
following	JJ	following
morning	NN	morning
,	,	,
however	RB	however
,	,	,
a	DT	a
letter	NN	letter
lay	NN	lay
ready	NN	ready
to	TO	to
be	VB	be
sent	VBN	send
to	TO	to
Christina	NNP	Christina
,	,	,
and	CC	and
the	DT	the
following	NN	following
is	VBZ	be
what	WP	what
he	PRP	he
wrote	VBD	write
:	:	:
-	:	-
``	``	``
The	DT	The
letter	NN	letter
written	VBN	write
by	IN	by
you	PRP	you
to	TO	to
your	PRP$	your
father	NN	father
I	PRP	I
have	VBP	have
read	VBN	read
,	,	,
and	CC	and
see	VBP	see
from	IN	from
it	PRP	it
that	IN	that
you	PRP	you
are	VBP	be
prosperous	JJ	prosperous
in	IN	in
everything	NN	everything
,	,	,
and	CC	and
that	IN	that
still	RB	still
better	JJR	good
fortune	NN	fortune
is	VBZ	be
in	IN	in
store	NN	store
for	IN	for
you	PRP	you
.	.	.
Ask	VB	Ask
your	PRP$	your
own	JJ	own
heart	NN	heart
,	,	,
Christina	NNP	Christina
,	,	,
and	CC	and
think	VBP	think
over	IN	over
carefully	RB	carefully
what	WP	what
awaits	VBZ	await
you	PRP	you
if	IN	if
you	PRP	you
take	VBP	take
me	PRP	me
for	IN	for
your	PRP$	your
husband	NN	husband
,	,	,
for	IN	for
I	PRP	I
possess	VBP	possess
very	RB	very
little	JJ	little
in	IN	in
the	DT	the
world	NN	world
.	.	.
Do	VBP	Do
not	RB	not
think	VB	think
of	IN	of
me	PRP	me
or	CC	or
of	IN	of
my	PRP$	my
position	NN	position
;	:	;
think	CC	think
only	RB	only
of	IN	of
your	PRP$	your
own	JJ	own
welfare	NN	welfare
.	.	.
You	PRP	You
are	VBP	be
bound	VBN	bind
to	TO	to
me	PRP	me
by	IN	by
no	DT	no
promises	NNS	promise
;	:	;
and	CC	and
if	IN	if
in	IN	in
your	PRP$	your
heart	NN	heart
you	PRP	you
have	VBP	have
given	VBN	give
me	PRP	me
one	CD	one
,	,	,
I	PRP	I
release	VBP	release
you	PRP	you
from	IN	from
it	PRP	it
.	.	.
May	NNP	May
every	DT	every
blessing	NN	blessing
and	CC	and
happiness	NN	happiness
be	VB	be
poured	VBN	pour
out	RP	out
upon	IN	upon
you	PRP	you
,	,	,
Christina	NNP	Christina
.	.	.
Heaven	NNP	Heaven
will	MD	will
give	VB	give
me	PRP	me
the	DT	the
heart	NN	heart
's	POS	's
consolation	NN	consolation
.	.	.
Ever	RB	Ever
your	PRP$	your
sincere	JJ	sincere
friend	NN	friend
